Time,Closing,Dividen yield,Growth,conti,annual,Dividen,DividenMonth,warton,,
38443,9369.3,1.75,1.025402111,0.025084839,0.301018071,0.017348638,0.001459087,13.6806,0.001459087,0.00144572
38473,9607.3,1.78,1.030754739,0.03029129,0.363495478,0.017643435,0.001485807,14.2852,0.001485807,0.001470286
38504,9902.77,1.72,1.052526717,0.051193671,0.61432405,0.017053755,0.001433076,14.2016,0.001433076,0.001421146
38534,10422.93,1.65,1.023602768,0.02332853,0.279942355,0.016365354,0.001374494,14.3361,0.001374494,0.00136378
38565,10668.94,1.62,1.032139088,0.031633433,0.379601196,0.01607018,0.001351629,14.4302,0.001351629,0.001339182
38596,11011.83,1.57,0.94292411,-0.058769477,-0.705233724,0.01557803,0.001307538,14.4078,0.001307538,0.001298169
38626,10383.32,1.68,1.042454629,0.041578153,0.498937831,0.016660441,0.001395025,14.4951,0.001395025,0.00138837
38657,10824.14,1.65,1.041400056,0.040566015,0.486792184,0.016365354,0.001370292,14.8424,0.001370292,0.00136378
38687,11272.26,1.99,1.059737799,0.058021518,0.696258215,0.019704583,0.0016583,18.7083,0.0016583,0.001642049
38718,11945.64,1.9,0.978460761,-0.021774595,-0.261295135,0.018821754,0.001581953,18.9124,0.001581953,0.00156848
38749,11688.34,2,1.036127457,0.035490164,0.42588197,0.019802627,0.001664044,19.4661,0.001664044,0.001650219
38777,12110.61,2.28,1.007725457,0.007695769,0.092349225,0.022543964,0.001899099,23.0211,0.001899099,0.001878664
38808,12204.17,2.27,0.962336644,-0.038390948,-0.460691374,0.022446189,0.001893427,23.1296,0.001893427,0.001870516
38838,11744.52,2.45,0.988790517,-0.011272783,-0.135273396,0.024204689,0.002038846,23.9697,0.002038846,0.002017057
38869,11612.87,2.46,1.018780026,0.018605858,0.223270302,0.024302293,0.002051813,23.8519,0.002051813,0.002025191
38899,11830.96,2.44,1.020521581,0.02031385,0.243766202,0.024107075,0.002030646,24.0489,0.002030646,0.002008923
38930,12073.75,2.46,0.97411906,-0.026221745,-0.314660936,0.024302293,0.002051887,24.7994,0.002051887,0.002025191
38961,11761.27,2.55,1.049596685,0.048405981,0.580871767,0.025180299,0.00212619,25.0333,0.00212619,0.002098358
38991,12344.59,2.43,1.033033904,0.03250001,0.390000125,0.024009452,0.002023559,25.0053,0.002023559,0.002000788
39022,12752.38,2.4,1.012233795,0.012159567,0.1459148,0.023716527,0.002000651,25.5386,0.002000651,0.001976377
39052,12908.39,2.42,1.009740177,0.009693047,0.116316564,0.02391182,0.002018477,26.0816,0.002018477,0.001992652
39083,13034.12,2.39,1.000836267,0.000835917,0.010031006,0.023618866,0.001985986,25.9113,0.001985986,0.001968239
39114,13045.02,2.42,1.009235708,0.00919332,0.11031984,0.02391182,0.002018273,26.355,0.002018273,0.001992652
39142,13165.5,2.46,1.019078653,0.018898937,0.226787247,0.024302293,0.002044492,26.9443,0.002044492,0.002025191
39173,13416.68,2.41,1.047709269,0.046606133,0.559273592,0.023814178,0.002010212,26.9975,0.002010212,0.001984515
39203,14056.78,2.36,0.989314053,-0.010743451,-0.128921416,0.023325825,0.001961228,27.5956,0.001961228,0.001943819
39234,13906.57,2.39,0.997271793,-0.002731935,-0.032783223,0.023618866,0.001985749,27.6424,0.001985749,0.001968239
39264,13868.63,2.42,0.984991308,-0.015122462,-0.18146955,0.02391182,0.002015082,27.9746,0.002015082,0.001992652
39295,13660.48,2.49,1.032093309,0.031589078,0.379068939,0.024595047,0.002075283,28.3788,0.002075283,0.002049587
39326,14098.89,2.4,1.037315704,0.036636322,0.439635867,0.023716527,0.001995449,28.1617,0.001995449,0.001976377
39356,14625,2.32,0.936008205,-0.066131036,-0.793572437,0.022934971,0.001930409,28.2595,0.001930409,0.001911248
39387,13689.12,2.55,1.01051492,0.010460023,0.125520271,0.025180299,0.002121252,29.0689,0.002121252,0.002098358
39417,13833.06,2.49,0.950989875,-0.050251863,-0.603022358,0.024595047,0.002075967,28.7468,0.002075967,0.002049587
39448,13155.1,2.66,1.032503744,0.031986672,0.383840062,0.026252371,0.002213806,29.1551,0.002213806,0.002187698
39479,13582.69,2.69,0.982878207,-0.017270065,-0.207240784,0.026544555,0.002237229,30.4216,0.002237229,0.002212046
39508,13350.13,2.75,1.043962868,0.043023922,0.516287059,0.027128667,0.00229295,30.6463,0.00229295,0.002260722
39539,13937.04,2.61,1.055800227,0.054298989,0.651587864,0.025765208,0.002173185,30.3207,0.002173185,0.002147101
39569,14714.73,2.5,0.983166528,-0.016976766,-0.203721187,0.024692613,0.002083249,30.6864,0.002083249,0.002057718
39600,14467.03,2.64,0.939578476,-0.062323934,-0.747887209,0.026057534,0.002200924,31.8759,0.002200924,0.002171461
39630,13592.91,2.93,1.013120075,0.013034752,0.156417029,0.02887896,0.002438422,33.1857,0.002438422,0.00240658
39661,13771.25,2.95,0.853437415,-0.158483067,-1.901796804,0.029073247,0.002453758,33.8328,0.002453758,0.002422771
39692,11752.9,3.43,0.830668176,-0.185524871,-2.226298456,0.033724869,0.00285412,33.5921,0.00285412,0.002810406
39722,9762.76,3.85,0.949590075,-0.051724888,-0.620698651,0.037777364,0.003206333,31.3529,0.003206333,0.003148114
39753,9270.62,4.02,0.969482084,-0.030993284,-0.371919406,0.039413002,0.003345737,31.069,0.003345737,0.003284417
39783,8987.7,4.04,0.967422144,-0.033120329,-0.397443949,0.039605255,0.003357154,30.2238,0.003357154,0.003300438
39814,8694.9,3.92,0.934228111,-0.068034641,-0.816415688,0.038451186,0.003258633,28.3797,0.003258633,0.003204266
39845,8123.02,4.17,1.073540383,0.070961955,0.851543466,0.040853994,0.003466989,28.2113,0.003466989,0.0034045
39873,8720.39,3.75,1.069313414,0.067016773,0.804201277,0.036813973,0.003122423,27.2713,0.003122423,0.003067831
